city,pollutant,unit,year,month,date,value
Abbotsford,CO,ppm,2015,8,2015-08-01,0.18
Abbotsford,CO,ppm,2015,9,2015-09-01,0.2
Abbotsford,CO,ppm,2015,10,2015-10-01,0.24
Abbotsford,CO,ppm,2015,11,2015-11-01,0.27
Abbotsford,CO,ppm,2015,12,2015-12-01,0.22
Abbotsford,CO,ppm,2016,1,2016-01-01,0.22
Abbotsford,CO,ppm,2016,2,2016-02-01,0.21
Abbotsford,CO,ppm,2016,3,2016-03-01,0.19
Abbotsford,CO,ppm,2016,4,2016-04-01,0.2
Abbotsford,CO,ppm,2016,5,2016-05-01,0.17
Abbotsford,CO,ppm,2016,6,2016-06-01,0.16
Abbotsford,CO,ppm,2016,7,2016-07-01,0.18
Abbotsford,CO,ppm,2016,8,2016-08-01,0.16
Abbotsford,CO,ppm,2016,9,2016-09-01,0.16
Abbotsford,CO,ppm,2016,10,2016-10-01,0.19
Abbotsford,CO,ppm,2016,11,2016-11-01,0.18
Abbotsford,CO,ppm,2016,12,2016-12-01,0.2
Abbotsford,CO,ppm,2017,1,2017-01-01,0.23
Abbotsford,CO,ppm,2017,2,2017-02-01,0.2
Abbotsford,CO,ppm,2017,3,2017-03-01,0.18
Abbotsford,CO,ppm,2017,4,2017-04-01,0.17
Abbotsford,CO,ppm,2017,5,2017-05-01,0.18
Abbotsford,CO,ppm,2017,6,2017-06-01,0.14
Abbotsford,CO,ppm,2017,7,2017-07-01,0.14
Abbotsford,CO,ppm,2017,8,2017-08-01,0.21
Abbotsford,CO,ppm,2017,9,2017-09-01,0.21
Abbotsford,CO,ppm,2017,10,2017-10-01,0.19
Abbotsford,CO,ppm,2017,11,2017-11-01,0.16
Abbotsford,CO,ppm,2017,12,2017-12-01,0.22
Abbotsford,CO,ppm,2018,1,2018-01-01,0.18
Abbotsford,CO,ppm,2018,2,2018-02-01,0.18
Abbotsford,CO,ppm,2018,3,2018-03-01,0.2
Abbotsford,CO,ppm,2018,4,2018-04-01,0.17
Abbotsford,CO,ppm,2018,5,2018-05-01,0.16
Abbotsford,CO,ppm,2018,6,2018-06-01,0.14
Abbotsford,CO,ppm,2018,7,2018-07-01,0.15
Abbotsford,CO,ppm,2018,8,2018-08-01,0.27
Abbotsford,CO,ppm,2018,9,2018-09-01,0.16
Abbotsford,CO,ppm,2018,10,2018-10-01,0.22
Abbotsford,CO,ppm,2018,11,2018-11-01,0.19
Abbotsford,CO,ppm,2018,12,2018-12-01,0.17
Abbotsford,CO,ppm,2019,1,2019-01-01,0.2
Abbotsford,CO,ppm,2019,2,2019-02-01,0.17
Abbotsford,CO,ppm,2019,3,2019-03-01,0.21
Abbotsford,CO,ppm,2019,4,2019-04-01,0.17
Abbotsford,CO,ppm,2019,5,2019-05-01,0.15
Abbotsford,CO,ppm,2019,6,2019-06-01,0.11
Abbotsford,CO,ppm,2019,7,2019-07-01,0.12
Abbotsford,CO,ppm,2019,8,2019-08-01,0.16
Abbotsford,CO,ppm,2019,9,2019-09-01,0.15
Abbotsford,CO,ppm,2019,10,2019-10-01,0.18
Abbotsford,CO,ppm,2019,11,2019-11-01,0.22
Abbotsford,CO,ppm,2019,12,2019-12-01,0.19
Abbotsford,CO,ppm,2020,1,2020-01-01,0.15
Abbotsford,CO,ppm,2020,2,2020-02-01,0.18
Abbotsford,CO,ppm,2020,3,2020-03-01,0.17
Abbotsford,CO,ppm,2020,4,2020-04-01,0.16
Abbotsford,CO,ppm,2020,5,2020-05-01,0.15
Abbotsford,CO,ppm,2020,6,2020-06-01,0.14
Abbotsford,CO,ppm,2020,7,2020-07-01,0.14
Abbotsford,CO,ppm,2020,8,2020-08-01,0.15
Abbotsford,CO,ppm,2020,9,2020-09-01,0.41
Abbotsford,CO,ppm,2020,10,2020-10-01,0.18
Abbotsford,CO,ppm,2020,11,2020-11-01,0.18
Abbotsford,CO,ppm,2020,12,2020-12-01,0.2
Abbotsford,CO,ppm,2021,1,2021-01-01,0.15
Abbotsford,CO,ppm,2021,2,2021-02-01,0.13
Abbotsford,CO,ppm,2021,3,2021-03-01,0.15
Abbotsford,CO,ppm,2021,4,2021-04-01,0.14
Abbotsford,CO,ppm,2021,5,2021-05-01,0.12
Abbotsford,CO,ppm,2021,6,2021-06-01,0.11
Abbotsford,CO,ppm,2021,7,2021-07-01,0.1
Abbotsford,CO,ppm,2021,8,2021-08-01,0.16
Abbotsford,CO,ppm,2021,9,2021-09-01,0.15
Abbotsford,CO,ppm,2021,10,2021-10-01,0.15
Abbotsford,CO,ppm,2021,11,2021-11-01,0.13
Abbotsford,CO,ppm,2021,12,2021-12-01,0.12
Abbotsford,CO,ppm,2022,1,2022-01-01,0.17
Abbotsford,CO,ppm,2022,2,2022-02-01,0.15
Abbotsford,CO,ppm,2022,3,2022-03-01,0.13
Abbotsford,CO,ppm,2022,4,2022-04-01,0.13
Abbotsford,CO,ppm,2022,5,2022-05-01,0.12
Abbotsford,CO,ppm,2022,6,2022-06-01,0.11
Abbotsford,CO,ppm,2022,7,2022-07-01,0.1
Abbotsford,CO,ppm,2022,8,2022-08-01,0.11
Abbotsford,CO,ppm,2022,9,2022-09-01,0.15
Abbotsford,CO,ppm,2022,10,2022-10-01,0.24
Abbotsford,CO,ppm,2022,11,2022-11-01,0.16
Abbotsford,CO,ppm,2022,12,2022-12-01,0.14
Abbotsford,CO,ppm,2023,1,2023-01-01,0.14
Abbotsford,CO,ppm,2023,2,2023-02-01,0.13
Abbotsford,CO,ppm,2023,3,2023-03-01,0.13
Abbotsford,CO,ppm,2023,4,2023-04-01,0.14
Abbotsford,CO,ppm,2023,5,2023-05-01,0.16
Abbotsford,CO,ppm,2023,6,2023-06-01,0.16
Abbotsford,CO,ppm,2023,7,2023-07-01,0.15
Abbotsford,CO,ppm,2023,8,2023-08-01,0.22
Abbotsford,CO,ppm,2023,9,2023-09-01,0.21
Abbotsford,CO,ppm,2023,10,2023-10-01,0.21
Abbotsford,CO,ppm,2023,11,2023-11-01,0.22
Abbotsford,CO,ppm,2023,12,2023-12-01,0.2
Abbotsford,CO,ppm,2024,1,2024-01-01,0.17
Abbotsford,CO,ppm,2024,2,2024-02-01,0.19
Abbotsford,CO,ppm,2024,3,2024-03-01,0.18
Abbotsford,CO,ppm,2024,4,2024-04-01,0.17
Abbotsford,CO,ppm,2024,5,2024-05-01,0.16
Abbotsford,CO,ppm,2024,6,2024-06-01,0.14
Abbotsford,CO,ppm,2024,7,2024-07-01,0.16
Abbotsford,CO,ppm,2024,8,2024-08-01,0.2
Abbotsford,CO,ppm,2024,9,2024-09-01,0.2
Abbotsford,CO,ppm,2024,10,2024-10-01,0.2
Abbotsford,CO,ppm,2024,11,2024-11-01,0.21
Abbotsford,CO,ppm,2024,12,2024-12-01,0.2
Calgary,CO,ppm,2005,1,2005-01-01,0.72
Calgary,CO,ppm,2005,2,2005-02-01,0.5
Calgary,CO,ppm,2005,3,2005-03-01,0.39
Calgary,CO,ppm,2005,4,2005-04-01,0.32
Calgary,CO,ppm,2005,5,2005-05-01,0.28
Calgary,CO,ppm,2005,6,2005-06-01,0.31
Calgary,CO,ppm,2005,7,2005-07-01,0.28
Calgary,CO,ppm,2005,8,2005-08-01,0.33
Calgary,CO,ppm,2005,9,2005-09-01,0.34
Calgary,CO,ppm,2005,10,2005-10-01,0.47
Calgary,CO,ppm,2005,11,2005-11-01,0.49
Calgary,CO,ppm,2005,12,2005-12-01,0.58
Calgary,CO,ppm,2006,1,2006-01-01,0.63
Calgary,CO,ppm,2006,2,2006-02-01,0.42
Calgary,CO,ppm,2006,3,2006-03-01,0.43
Calgary,CO,ppm,2006,4,2006-04-01,0.33
Calgary,CO,ppm,2006,5,2006-05-01,0.28
Calgary,CO,ppm,2006,6,2006-06-01,0.32
Calgary,CO,ppm,2006,7,2006-07-01,0.31
Calgary,CO,ppm,2006,8,2006-08-01,0.33
Calgary,CO,ppm,2006,9,2006-09-01,0.35
Calgary,CO,ppm,2006,10,2006-10-01,0.36
Calgary,CO,ppm,2006,11,2006-11-01,0.43
Calgary,CO,ppm,2006,12,2006-12-01,0.53
Calgary,CO,ppm,2007,1,2007-01-01,0.41
Calgary,CO,ppm,2007,2,2007-02-01,0.46
Calgary,CO,ppm,2007,3,2007-03-01,0.4
Calgary,CO,ppm,2007,4,2007-04-01,0.31
Calgary,CO,ppm,2007,5,2007-05-01,0.28
Calgary,CO,ppm,2007,6,2007-06-01,0.3
Calgary,CO,ppm,2007,7,2007-07-01,0.26
Calgary,CO,ppm,2007,8,2007-08-01,0.26
Calgary,CO,ppm,2007,9,2007-09-01,0.28
Calgary,CO,ppm,2007,10,2007-10-01,0.36
Calgary,CO,ppm,2007,11,2007-11-01,0.37
Calgary,CO,ppm,2007,12,2007-12-01,0.45
Calgary,CO,ppm,2008,1,2008-01-01,0.48
Calgary,CO,ppm,2008,2,2008-02-01,0.47
Calgary,CO,ppm,2008,3,2008-03-01,0.3
Calgary,CO,ppm,2008,4,2008-04-01,0.29
Calgary,CO,ppm,2008,5,2008-05-01,0.28
Calgary,CO,ppm,2008,6,2008-06-01,0.28
Calgary,CO,ppm,2008,7,2008-07-01,0.29
Calgary,CO,ppm,2008,8,2008-08-01,0.28
Calgary,CO,ppm,2008,9,2008-09-01,0.3
Calgary,CO,ppm,2008,10,2008-10-01,0.37
Calgary,CO,ppm,2008,11,2008-11-01,0.42
Calgary,CO,ppm,2008,12,2008-12-01,0.36
Calgary,CO,ppm,2009,1,2009-01-01,0.37
Calgary,CO,ppm,2009,2,2009-02-01,0.41
Calgary,CO,ppm,2009,3,2009-03-01,0.34
Calgary,CO,ppm,2009,4,2009-04-01,0.27
Calgary,CO,ppm,2009,5,2009-05-01,0.24
Calgary,CO,ppm,2009,6,2009-06-01,0.22
Calgary,CO,ppm,2009,7,2009-07-01,0.23
Calgary,CO,ppm,2009,8,2009-08-01,0.22
Calgary,CO,ppm,2009,9,2009-09-01,0.19
Calgary,CO,ppm,2009,10,2009-10-01,0.22
Calgary,CO,ppm,2009,11,2009-11-01,0.28
Calgary,CO,ppm,2009,12,2009-12-01,0.39
Calgary,CO,ppm,2010,1,2010-01-01,0.47
Calgary,CO,ppm,2010,2,2010-02-01,0.43
Calgary,CO,ppm,2010,3,2010-03-01,0.31
Calgary,CO,ppm,2010,4,2010-04-01,0.24
Calgary,CO,ppm,2010,5,2010-05-01,0.22
Calgary,CO,ppm,2010,6,2010-06-01,0.21
Calgary,CO,ppm,2010,7,2010-07-01,0.19
Calgary,CO,ppm,2010,8,2010-08-01,0.22
Calgary,CO,ppm,2010,9,2010-09-01,0.18
Calgary,CO,ppm,2010,10,2010-10-01,0.24
Calgary,CO,ppm,2010,11,2010-11-01,0.31
Calgary,CO,ppm,2010,12,2010-12-01,0.44
Calgary,CO,ppm,2011,1,2011-01-01,0.31
Calgary,CO,ppm,2011,2,2011-02-01,0.31
Calgary,CO,ppm,2011,3,2011-03-01,0.31
Calgary,CO,ppm,2011,4,2011-04-01,0.25
Calgary,CO,ppm,2011,5,2011-05-01,0.21
Calgary,CO,ppm,2011,6,2011-06-01,0.21
Calgary,CO,ppm,2011,7,2011-07-01,0.17
Calgary,CO,ppm,2011,8,2011-08-01,0.17
Calgary,CO,ppm,2011,9,2011-09-01,0.16
Calgary,CO,ppm,2011,10,2011-10-01,0.2
Calgary,CO,ppm,2011,11,2011-11-01,0.25
Calgary,CO,ppm,2011,12,2011-12-01,0.25
Calgary,CO,ppm,2012,1,2012-01-01,0.26
Calgary,CO,ppm,2012,2,2012-02-01,0.27
Calgary,CO,ppm,2012,3,2012-03-01,0.26
Calgary,CO,ppm,2012,4,2012-04-01,0.21
Calgary,CO,ppm,2012,5,2012-05-01,0.18
Calgary,CO,ppm,2012,6,2012-06-01,0.17
Calgary,CO,ppm,2012,7,2012-07-01,0.21
Calgary,CO,ppm,2012,8,2012-08-01,0.17
Calgary,CO,ppm,2012,9,2012-09-01,0.17
Calgary,CO,ppm,2012,10,2012-10-01,0.19
Calgary,CO,ppm,2012,11,2012-11-01,0.29
Calgary,CO,ppm,2012,12,2012-12-01,0.33
Calgary,CO,ppm,2013,1,2013-01-01,0.29
Calgary,CO,ppm,2013,2,2013-02-01,0.28
Calgary,CO,ppm,2013,3,2013-03-01,0.26
Calgary,CO,ppm,2013,4,2013-04-01,0.2
Calgary,CO,ppm,2013,5,2013-05-01,0.17
Calgary,CO,ppm,2013,6,2013-06-01,0.16
Calgary,CO,ppm,2013,7,2013-07-01,0.12
Calgary,CO,ppm,2013,8,2013-08-01,0.06
Calgary,CO,ppm,2013,9,2013-09-01,0.16
Calgary,CO,ppm,2013,10,2013-10-01,0.2
Calgary,CO,ppm,2013,11,2013-11-01,0.27
Calgary,CO,ppm,2013,12,2013-12-01,0.28
Calgary,CO,ppm,2014,1,2014-01-01,0.28
Calgary,CO,ppm,2014,2,2014-02-01,0.27
Calgary,CO,ppm,2014,3,2014-03-01,0.24
Calgary,CO,ppm,2014,4,2014-04-01,0.21
Calgary,CO,ppm,2014,5,2014-05-01,0.19
Calgary,CO,ppm,2014,6,2014-06-01,0.17
Calgary,CO,ppm,2014,7,2014-07-01,0.23
Calgary,CO,ppm,2014,8,2014-08-01,0.22
Calgary,CO,ppm,2014,9,2014-09-01,0.18
Calgary,CO,ppm,2014,10,2014-10-01,0.22
Calgary,CO,ppm,2014,11,2014-11-01,0.24
Calgary,CO,ppm,2014,12,2014-12-01,0.31
Calgary,CO,ppm,2015,1,2015-01-01,0.29
Calgary,CO,ppm,2015,2,2015-02-01,0.26
Calgary,CO,ppm,2015,3,2015-03-01,0.25
Calgary,CO,ppm,2015,4,2015-04-01,0.14
Calgary,CO,ppm,2015,5,2015-05-01,0.13
Calgary,CO,ppm,2015,6,2015-06-01,0.17
Calgary,CO,ppm,2015,7,2015-07-01,0.18
Calgary,CO,ppm,2015,8,2015-08-01,0.25
Calgary,CO,ppm,2015,9,2015-09-01,0.17
Calgary,CO,ppm,2015,10,2015-10-01,0.21
Calgary,CO,ppm,2015,11,2015-11-01,0.22
Calgary,CO,ppm,2015,12,2015-12-01,0.31
Calgary,CO,ppm,2016,1,2016-01-01,0.33
Calgary,CO,ppm,2016,2,2016-02-01,0.23
Calgary,CO,ppm,2016,3,2016-03-01,0.19
Calgary,CO,ppm,2016,4,2016-04-01,0.16
Calgary,CO,ppm,2016,5,2016-05-01,0.15
Calgary,CO,ppm,2016,6,2016-06-01,0.12
Calgary,CO,ppm,2016,7,2016-07-01,0.13
Calgary,CO,ppm,2016,8,2016-08-01,0.15
Calgary,CO,ppm,2016,9,2016-09-01,0.14
Calgary,CO,ppm,2016,10,2016-10-01,0.19
Calgary,CO,ppm,2016,11,2016-11-01,0.25
Calgary,CO,ppm,2016,12,2016-12-01,0.22
Calgary,CO,ppm,2017,1,2017-01-01,0.26
Calgary,CO,ppm,2017,2,2017-02-01,0.27
Calgary,CO,ppm,2017,3,2017-03-01,0.21
Calgary,CO,ppm,2017,4,2017-04-01,0.18
Calgary,CO,ppm,2017,5,2017-05-01,0.16
Calgary,CO,ppm,2017,6,2017-06-01,0.12
Calgary,CO,ppm,2017,7,2017-07-01,0.19
Calgary,CO,ppm,2017,8,2017-08-01,0.21
Calgary,CO,ppm,2017,9,2017-09-01,0.23
Calgary,CO,ppm,2017,10,2017-10-01,0.15
Calgary,CO,ppm,2017,11,2017-11-01,0.23
Calgary,CO,ppm,2017,12,2017-12-01,0.21
Calgary,CO,ppm,2018,1,2018-01-01,0.33
Calgary,CO,ppm,2018,2,2018-02-01,0.24
Calgary,CO,ppm,2018,3,2018-03-01,0.29
Calgary,CO,ppm,2018,4,2018-04-01,0.24
Calgary,CO,ppm,2018,5,2018-05-01,0.18
Calgary,CO,ppm,2018,6,2018-06-01,0.11
Calgary,CO,ppm,2018,7,2018-07-01,0.13
Calgary,CO,ppm,2018,8,2018-08-01,0.45
Calgary,CO,ppm,2018,9,2018-09-01,0.16
Calgary,CO,ppm,2018,10,2018-10-01,0.21
Calgary,CO,ppm,2018,11,2018-11-01,0.29
Calgary,CO,ppm,2018,12,2018-12-01,0.28
Calgary,CO,ppm,2019,1,2019-01-01,0.29
Calgary,CO,ppm,2019,2,2019-02-01,0.27
Calgary,CO,ppm,2019,3,2019-03-01,0.27
Calgary,CO,ppm,2019,4,2019-04-01,0.2
Calgary,CO,ppm,2019,5,2019-05-01,0.22
Calgary,CO,ppm,2019,6,2019-06-01,0.16
Calgary,CO,ppm,2019,7,2019-07-01,0.16
Calgary,CO,ppm,2019,8,2019-08-01,0.18
Calgary,CO,ppm,2019,9,2019-09-01,0.17
Calgary,CO,ppm,2019,10,2019-10-01,0.2
Calgary,CO,ppm,2019,11,2019-11-01,0.24
Calgary,CO,ppm,2019,12,2019-12-01,0.3
Calgary,CO,ppm,2020,1,2020-01-01,0.33
Calgary,CO,ppm,2020,2,2020-02-01,0.25
Calgary,CO,ppm,2020,3,2020-03-01,0.21
Calgary,CO,ppm,2020,4,2020-04-01,0.18
Calgary,CO,ppm,2020,5,2020-05-01,0.17
Calgary,CO,ppm,2020,6,2020-06-01,0.15
Calgary,CO,ppm,2020,7,2020-07-01,0.14
Calgary,CO,ppm,2020,8,2020-08-01,0.15
Calgary,CO,ppm,2020,9,2020-09-01,0.2
Calgary,CO,ppm,2020,10,2020-10-01,0.19
Calgary,CO,ppm,2020,11,2020-11-01,0.28
Calgary,CO,ppm,2020,12,2020-12-01,0.28
Calgary,CO,ppm,2021,1,2021-01-01,0.27
Calgary,CO,ppm,2021,2,2021-02-01,0.24
Calgary,CO,ppm,2021,3,2021-03-01,0.21
Calgary,CO,ppm,2021,4,2021-04-01,0.18
Calgary,CO,ppm,2021,5,2021-05-01,0.15
Calgary,CO,ppm,2021,6,2021-06-01,0.15
Calgary,CO,ppm,2021,7,2021-07-01,0.3
Calgary,CO,ppm,2021,8,2021-08-01,0.25
Calgary,CO,ppm,2021,9,2021-09-01,0.2
Calgary,CO,ppm,2021,10,2021-10-01,0.21
Calgary,CO,ppm,2021,11,2021-11-01,0.24
Calgary,CO,ppm,2021,12,2021-12-01,0.28
Calgary,CO,ppm,2022,1,2022-01-01,0.26
Calgary,CO,ppm,2022,2,2022-02-01,0.2
Calgary,CO,ppm,2022,3,2022-03-01,0.2
Calgary,CO,ppm,2022,4,2022-04-01,0.18
Calgary,CO,ppm,2022,5,2022-05-01,0.15
Calgary,CO,ppm,2022,6,2022-06-01,0.14
Calgary,CO,ppm,2022,7,2022-07-01,0.15
Calgary,CO,ppm,2022,8,2022-08-01,0.16
Calgary,CO,ppm,2022,9,2022-09-01,0.2
Calgary,CO,ppm,2022,10,2022-10-01,0.21
Calgary,CO,ppm,2022,11,2022-11-01,0.23
Calgary,CO,ppm,2022,12,2022-12-01,0.32
Calgary,CO,ppm,2023,1,2023-01-01,0.36
Calgary,CO,ppm,2023,2,2023-02-01,0.26
Calgary,CO,ppm,2023,3,2023-03-01,0.24
Calgary,CO,ppm,2023,4,2023-04-01,0.18
Calgary,CO,ppm,2023,5,2023-05-01,0.27
Calgary,CO,ppm,2023,6,2023-06-01,0.22
Calgary,CO,ppm,2023,7,2023-07-01,0.25
Calgary,CO,ppm,2023,8,2023-08-01,0.26
Calgary,CO,ppm,2023,9,2023-09-01,0.26
Calgary,CO,ppm,2023,10,2023-10-01,0.22
Calgary,CO,ppm,2023,11,2023-11-01,0.27
Calgary,CO,ppm,2023,12,2023-12-01,0.33
Calgary,CO,ppm,2024,1,2024-01-01,0.36
Calgary,CO,ppm,2024,2,2024-02-01,0.27
Calgary,CO,ppm,2024,3,2024-03-01,0.23
Calgary,CO,ppm,2024,4,2024-04-01,0.19
Calgary,CO,ppm,2024,5,2024-05-01,0.17
Calgary,CO,ppm,2024,6,2024-06-01,0.15
Calgary,CO,ppm,2024,7,2024-07-01,0.23
Calgary,CO,ppm,2024,8,2024-08-01,0.25
Calgary,CO,ppm,2024,9,2024-09-01,0.2
Calgary,CO,ppm,2024,10,2024-10-01,0.22
Calgary,CO,ppm,2024,11,2024-11-01,0.24
Calgary,CO,ppm,2024,12,2024-12-01,0.32
Edmonton,CO,ppm,2005,1,2005-01-01,0.49
