caruid,name,province,dominant_ftype,total_farms,land_area_km2,cropland_ha,cropland_share
2410,"Abitibi-Témiscamingue--Nord-du-Québec, Quebec",Quebec,Other crop,588.0,764632.0,73660.0,0.1
2411,"Gaspésie--Îles-de-la-Madeleine, Quebec",Quebec,Other crop,224.0,20271.0,13079.0,0.65
2412,"Chaudière-Appalaches, Quebec",Quebec,Other crop,6090.0,15072.0,218344.0,14.49
2413,"Montérégie, Quebec",Quebec,Oilseed & grain,6762.0,11112.0,548674.0,49.38
2414,"Centre-du-Québec, Quebec",Quebec,Other crop,3321.0,6921.0,233719.0,33.77
3501,"Southern Ontario Region, Ontario",Ontario,Oilseed & grain,17031.0,21492.0,1386554.0,64.51
3502,"Western Ontario Region, Ontario",Ontario,Oilseed & grain,16483.0,26745.0,1191184.0,44.54
3503,"Central Ontario Region, Ontario",Ontario,Beef cattle,6330.0,37660.0,394195.0,10.47
3504,"Eastern Ontario Region, Ontario",Ontario,Oilseed & grain,6720.0,28320.0,552043.0,19.49
3505,"Northern Ontario Region, Ontario",Ontario,Beef cattle,1782.0,778195.0,138838.0,0.18
4601,"Census Agricultural Region 1, Manitoba",Manitoba,Oilseed & grain,1167.0,8282.0,525736.0,63.48
4602,"Census Agricultural Region 2, Manitoba",Manitoba,Oilseed & grain,1684.0,10357.0,574374.0,55.46
4603,"Census Agricultural Region 3, Manitoba",Manitoba,Oilseed & grain,1321.0,8745.0,447514.0,51.17
