country_code,year,life_expectancy,country_name
ISR,2004,80.3,Israel
ISR,2005,80.3,Israel
ISR,2006,80.7,Israel
ISR,2007,80.7,Israel
ISR,2008,81.1,Israel
ISR,2009,81.5,Israel
ISR,2010,81.7,Israel
ISR,2011,81.8,Israel
ISR,2012,81.8,Israel
ISR,2013,82.1,Israel
ISR,2014,82.2,Israel
ISR,2015,82.2,Israel
ISR,2016,82.5,Israel
ISR,2017,82.7,Israel
ISR,2018,82.9,Israel
ISR,2019,82.9,Israel
ISR,2020,82.7,Israel
ISR,2021,82.6,Israel
ISR,2022,82.8,Israel
ISR,2023,83.8,Israel
ITA,2000,79.9,Italy
ITA,2001,80.3,Italy
ITA,2002,80.4,Italy
ITA,2003,80.1,Italy
ITA,2004,80.9,Italy
ITA,2005,80.9,Italy
ITA,2006,81.4,Italy
ITA,2007,81.6,Italy
ITA,2008,81.7,Italy
ITA,2009,81.8,Italy
ITA,2010,82.2,Italy
ITA,2011,82.4,Italy
ITA,2012,82.4,Italy
ITA,2013,82.9,Italy
ITA,2014,83.2,Italy
ITA,2015,82.7,Italy
ITA,2016,83.4,Italy
ITA,2017,83.1,Italy
ITA,2018,83.4,Italy
ITA,2019,83.6,Italy
ITA,2020,82.3,Italy
ITA,2021,82.7,Italy
ITA,2022,82.8,Italy
ITA,2023,83.5,Italy
JPN,2000,81.2,Japan
JPN,2001,81.5,Japan
JPN,2002,81.8,Japan
JPN,2003,81.8,Japan
JPN,2004,82.1,Japan
JPN,2005,82.0,Japan
JPN,2006,82.4,Japan
JPN,2007,82.6,Japan
JPN,2008,82.7,Japan
JPN,2009,83.0,Japan
JPN,2010,82.9,Japan
JPN,2011,82.7,Japan
JPN,2012,83.2,Japan
JPN,2013,83.4,Japan
JPN,2014,83.7,Japan
JPN,2015,83.9,Japan
JPN,2016,84.1,Japan
JPN,2017,84.2,Japan
JPN,2018,84.3,Japan
JPN,2019,84.4,Japan
JPN,2020,84.6,Japan
JPN,2021,84.5,Japan
JPN,2022,84.1,Japan
JPN,2023,84.1,Japan
KOR,2000,76.0,South Korea
KOR,2001,76.5,South Korea
KOR,2002,76.8,South Korea
KOR,2003,77.3,South Korea
KOR,2004,77.8,South Korea
KOR,2005,78.2,South Korea
KOR,2006,78.8,South Korea
KOR,2007,79.2,South Korea
KOR,2008,79.6,South Korea
KOR,2009,80.0,South Korea
KOR,2010,80.2,South Korea
KOR,2011,80.6,South Korea
KOR,2012,80.9,South Korea
KOR,2013,81.4,South Korea
KOR,2014,81.8,South Korea
KOR,2015,82.1,South Korea
KOR,2016,82.4,South Korea
KOR,2017,82.7,South Korea
KOR,2018,82.7,South Korea
KOR,2019,83.3,South Korea
KOR,2020,83.5,South Korea
KOR,2021,83.6,South Korea
KOR,2022,82.7,South Korea
KOR,2023,83.5,South Korea
NLD,2000,78.2,Netherlands
NLD,2001,78.4,Netherlands
NLD,2002,78.5,Netherlands
NLD,2003,78.7,Netherlands
NLD,2004,79.3,Netherlands
NLD,2005,79.6,Netherlands
NLD,2006,80.0,Netherlands
NLD,2007,80.4,Netherlands
NLD,2008,80.5,Netherlands
NLD,2009,80.9,Netherlands
NLD,2010,81.0,Netherlands
NLD,2011,81.3,Netherlands
NLD,2012,81.2,Netherlands
NLD,2013,81.4,Netherlands
NLD,2014,81.8,Netherlands
NLD,2015,81.6,Netherlands
NLD,2016,81.7,Netherlands
NLD,2017,81.8,Netherlands
NLD,2018,81.9,Netherlands
NLD,2019,82.2,Netherlands
NLD,2020,81.4,Netherlands
NLD,2021,81.4,Netherlands
NLD,2022,81.7,Netherlands
NLD,2023,81.9,Netherlands
NOR,2000,78.8,Norway
NOR,2001,79.0,Norway
NOR,2002,79.0,Norway
NOR,2003,79.6,Norway
NOR,2004,80.1,Norway
NOR,2005,80.3,Norway
NOR,2006,80.6,Norway
NOR,2007,80.6,Norway
NOR,2008,80.8,Norway
NOR,2009,81.0,Norway
NOR,2010,81.2,Norway
NOR,2011,81.4,Norway
NOR,2012,81.5,Norway
NOR,2013,81.8,Norway
NOR,2014,82.2,Norway
NOR,2015,82.4,Norway
NOR,2016,82.5,Norway
NOR,2017,82.7,Norway
NOR,2018,82.8,Norway
NOR,2019,83.0,Norway
NOR,2020,83.3,Norway
NOR,2021,83.2,Norway
NOR,2022,82.5,Norway
NOR,2023,83.1,Norway
NZL,2000,78.4,New Zealand
NZL,2001,78.7,New Zealand
NZL,2002,79.0,New Zealand
NZL,2003,79.3,New Zealand
NZL,2004,79.6,New Zealand
NZL,2005,79.8,New Zealand
NZL,2006,80.1,New Zealand
NZL,2007,80.3,New Zealand
NZL,2008,80.5,New Zealand
NZL,2009,80.7,New Zealand
NZL,2010,80.8,New Zealand
NZL,2011,81.0,New Zealand
NZL,2012,81.2,New Zealand
NZL,2013,81.4,New Zealand
NZL,2014,81.4,New Zealand
NZL,2015,81.5,New Zealand
NZL,2016,81.6,New Zealand
NZL,2017,81.7,New Zealand
NZL,2018,81.7,New Zealand
NZL,2019,82.1,New Zealand
NZL,2020,82.3,New Zealand
NZL,2021,82.3,New Zealand
NZL,2022,82.0,New Zealand
NZL,2023,82.0,New Zealand
SWE,2000,79.8,Sweden
SWE,2001,79.9,Sweden
SWE,2002,80.0,Sweden
SWE,2003,80.3,Sweden
SWE,2004,80.7,Sweden
SWE,2005,80.7,Sweden
SWE,2006,81.0,Sweden
SWE,2007,81.1,Sweden
SWE,2008,81.3,Sweden
SWE,2009,81.5,Sweden
SWE,2010,81.6,Sweden
SWE,2011,81.9,Sweden
SWE,2012,81.8,Sweden
SWE,2013,82.0,Sweden
SWE,2014,82.3,Sweden
SWE,2015,82.2,Sweden
SWE,2016,82.4,Sweden
SWE,2017,82.5,Sweden
SWE,2018,82.6,Sweden
SWE,2019,83.2,Sweden
SWE,2020,82.4,Sweden
SWE,2021,83.1,Sweden
SWE,2022,83.1,Sweden
SWE,2023,83.4,Sweden
USA,2000,76.8,United States
USA,2001,77.0,United States
USA,2002,77.0,United States
USA,2003,77.2,United States
USA,2004,77.6,United States
USA,2005,77.6,United States
USA,2006,77.8,United States
USA,2007,78.1,United States
USA,2008,78.2,United States
USA,2009,78.5,United States
USA,2010,78.7,United States
USA,2011,78.7,United States
USA,2012,78.8,United States
USA,2013,78.8,United States
USA,2014,78.9,United States
USA,2015,78.7,United States
USA,2016,78.7,United States
USA,2017,78.6,United States
USA,2018,78.7,United States
USA,2019,78.8,United States
USA,2020,77.0,United States
USA,2021,76.4,United States
USA,2022,77.5,United States
USA,2023,78.4,United States
