country_code,year,hospital_beds,country_name
FRA,2023,5.4,France
GBR,2000,4.08,United Kingdom
GBR,2001,4.04,United Kingdom
GBR,2002,3.98,United Kingdom
GBR,2003,3.95,United Kingdom
GBR,2004,3.86,United Kingdom
GBR,2005,3.72,United Kingdom
GBR,2006,3.54,United Kingdom
GBR,2007,3.39,United Kingdom
GBR,2008,3.33,United Kingdom
GBR,2009,3.27,United Kingdom
GBR,2010,2.93,United Kingdom
GBR,2011,2.88,United Kingdom
GBR,2012,2.81,United Kingdom
GBR,2013,2.76,United Kingdom
GBR,2014,2.73,United Kingdom
GBR,2015,2.61,United Kingdom
GBR,2016,2.57,United Kingdom
GBR,2017,2.54,United Kingdom
GBR,2018,2.5,United Kingdom
GBR,2019,2.46,United Kingdom
GBR,2020,2.44,United Kingdom
GBR,2021,2.43,United Kingdom
GBR,2022,2.44,United Kingdom
GBR,2023,2.44,United Kingdom
ISR,2000,3.79,Israel
ISR,2001,3.81,Israel
ISR,2002,3.76,Israel
ISR,2003,3.86,Israel
ISR,2004,3.8,Israel
ISR,2005,3.73,Israel
ISR,2006,3.4,Israel
ISR,2007,3.35,Israel
ISR,2008,3.29,Israel
ISR,2009,3.19,Israel
ISR,2010,3.16,Israel
ISR,2011,3.14,Israel
ISR,2012,3.1,Israel
ISR,2013,3.09,Israel
ISR,2014,3.08,Israel
ISR,2015,3.03,Israel
ISR,2016,2.99,Israel
ISR,2017,3.01,Israel
ISR,2018,2.97,Israel
ISR,2019,2.96,Israel
ISR,2020,2.92,Israel
ISR,2021,2.91,Israel
ISR,2022,2.98,Israel
ISR,2023,3.01,Israel
ISR,2024,3.09,Israel
ITA,2000,4.71,Italy
ITA,2001,4.61,Italy
ITA,2002,4.44,Italy
ITA,2003,4.17,Italy
ITA,2004,4.01,Italy
ITA,2005,4.03,Italy
ITA,2006,3.98,Italy
ITA,2007,3.89,Italy
ITA,2008,3.77,Italy
ITA,2009,3.66,Italy
ITA,2010,3.61,Italy
ITA,2011,3.48,Italy
ITA,2012,3.38,Italy
ITA,2013,3.31,Italy
ITA,2014,3.24,Italy
ITA,2015,3.22,Italy
ITA,2016,3.2,Italy
ITA,2017,3.21,Italy
ITA,2018,3.15,Italy
ITA,2019,3.16,Italy
ITA,2020,3.19,Italy
ITA,2021,3.12,Italy
ITA,2022,3.09,Italy
ITA,2023,3.04,Italy
JPN,2000,14.69,Japan
JPN,2001,14.58,Japan
JPN,2002,14.43,Japan
JPN,2003,14.26,Japan
JPN,2004,14.2,Japan
JPN,2005,14.08,Japan
JPN,2006,13.97,Japan
JPN,2007,13.87,Japan
JPN,2008,13.71,Japan
JPN,2009,13.62,Japan
JPN,2010,13.51,Japan
JPN,2011,13.4,Japan
JPN,2012,13.35,Japan
JPN,2013,13.3,Japan
JPN,2014,13.21,Japan
JPN,2015,13.17,Japan
JPN,2016,13.1,Japan
JPN,2017,13.03,Japan
JPN,2018,12.95,Japan
JPN,2019,12.8,Japan
JPN,2020,12.63,Japan
JPN,2021,12.62,Japan
JPN,2022,12.59,Japan
JPN,2023,12.52,Japan
KOR,2000,4.65,South Korea
KOR,2001,4.45,South Korea
KOR,2002,4.83,South Korea
KOR,2003,5.09,South Korea
KOR,2004,5.42,South Korea
KOR,2005,5.9,South Korea
KOR,2006,6.48,South Korea
KOR,2007,7.24,South Korea
KOR,2008,7.73,South Korea
KOR,2009,8.19,South Korea
KOR,2010,8.74,South Korea
KOR,2011,9.53,South Korea
KOR,2012,10.25,South Korea
KOR,2013,10.92,South Korea
KOR,2014,11.59,South Korea
KOR,2015,11.61,South Korea
KOR,2016,11.99,South Korea
KOR,2017,12.29,South Korea
KOR,2018,12.44,South Korea
KOR,2019,12.43,South Korea
KOR,2020,12.65,South Korea
KOR,2021,12.77,South Korea
KOR,2022,12.83,South Korea
KOR,2023,12.62,South Korea
KOR,2024,12.5,South Korea
NLD,2000,4.92,Netherlands
NLD,2001,4.75,Netherlands
NLD,2002,4.69,Netherlands
NLD,2003,4.49,Netherlands
NLD,2004,4.5,Netherlands
NLD,2005,4.44,Netherlands
NLD,2006,4.4,Netherlands
NLD,2007,4.29,Netherlands
NLD,2008,4.25,Netherlands
NLD,2009,4.21,Netherlands
NLD,2010,4.12,Netherlands
NLD,2011,3.97,Netherlands
NLD,2012,3.78,Netherlands
NLD,2013,3.69,Netherlands
NLD,2014,3.55,Netherlands
NLD,2015,3.49,Netherlands
NLD,2016,3.41,Netherlands
NLD,2017,3.28,Netherlands
NLD,2018,3.18,Netherlands
NLD,2019,3.02,Netherlands
NLD,2020,2.91,Netherlands
NLD,2021,2.95,Netherlands
NLD,2022,2.45,Netherlands
NLD,2023,2.31,Netherlands
NOR,2002,4.99,Norway
NOR,2003,4.99,Norway
NOR,2004,5.25,Norway
NOR,2005,5.16,Norway
NOR,2006,5.03,Norway
NOR,2007,4.86,Norway
NOR,2008,4.64,Norway
NOR,2009,4.52,Norway
NOR,2010,4.3,Norway
NOR,2011,4.19,Norway
NOR,2012,3.97,Norway
NOR,2013,3.86,Norway
NOR,2014,3.84,Norway
NOR,2015,3.76,Norway
NOR,2016,3.68,Norway
NOR,2017,3.6,Norway
NOR,2018,3.52,Norway
NOR,2019,3.48,Norway
NOR,2020,3.4,Norway
NOR,2021,3.4,Norway
NOR,2022,3.35,Norway
NOR,2023,3.3,Norway
NZL,2009,2.41,New Zealand
NZL,2010,2.75,New Zealand
NZL,2011,2.82,New Zealand
NZL,2012,2.83,New Zealand
NZL,2013,2.78,New Zealand
NZL,2014,2.75,New Zealand
NZL,2015,2.71,New Zealand
NZL,2016,2.72,New Zealand
NZL,2017,2.7,New Zealand
NZL,2018,2.59,New Zealand
NZL,2019,2.55,New Zealand
NZL,2020,2.5,New Zealand
NZL,2021,2.68,New Zealand
NZL,2022,2.59,New Zealand
NZL,2023,2.49,New Zealand
NZL,2024,2.48,New Zealand
SWE,2000,3.58,Sweden
SWE,2001,3.27,Sweden
SWE,2002,3.13,Sweden
SWE,2003,3.05,Sweden
SWE,2004,3.01,Sweden
SWE,2005,2.93,Sweden
SWE,2006,2.89,Sweden
SWE,2007,2.86,Sweden
SWE,2008,2.81,Sweden
SWE,2009,2.76,Sweden
SWE,2010,2.73,Sweden
SWE,2011,2.7,Sweden
SWE,2012,2.66,Sweden
SWE,2013,2.59,Sweden
SWE,2014,2.54,Sweden
SWE,2015,2.44,Sweden
SWE,2016,2.34,Sweden
SWE,2017,2.21,Sweden
SWE,2018,2.13,Sweden
SWE,2019,2.07,Sweden
SWE,2020,2.05,Sweden
SWE,2021,2.0,Sweden
SWE,2022,1.9,Sweden
SWE,2023,1.87,Sweden
USA,2000,3.49,United States
USA,2001,3.47,United States
USA,2002,3.39,United States
USA,2003,3.33,United States
USA,2004,3.26,United States
USA,2005,3.2,United States
USA,2006,3.18,United States
USA,2007,3.14,United States
USA,2008,3.13,United States
USA,2009,3.08,United States
USA,2010,3.05,United States
USA,2011,2.97,United States
USA,2012,2.93,United States
USA,2013,2.89,United States
USA,2014,2.83,United States
USA,2015,2.8,United States
USA,2016,2.77,United States
USA,2017,2.86,United States
USA,2018,2.83,United States
USA,2019,2.8,United States
USA,2020,2.78,United States
USA,2021,2.77,United States
USA,2022,2.75,United States
